,Symbol,Security,GICS Sector, GICS Sub Industry,Location
0,MMM,3M Company,Industrials,Industrial Conglomerates,"St. Paul, Minnesota"
1,ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois"
2,ABBV,AbbVie Inc.,Health Care,Pharmaceuticals,"North Chicago, Illinois"
3,ABMD,ABIOMED Inc,Health Care,Health Care Equipment,"Danvers, Massachusetts"
4,ACN,Accenture plc,Information Technology,IT Consulting & Other Services,"Dublin, Ireland"
5,ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,"Santa Monica, California"
6,ADBE,Adobe Systems Inc,Information Technology,Application Software,"San Jose, California"
7,AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors,"Sunnyvale, California"
8,AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,"Roanoke, Virginia"
9,AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia"
10,AET,Aetna Inc,Health Care,Managed Health Care,"Hartford, Connecticut"
11,AMG,Affiliated Managers Group Inc,Financials,Asset Management & Custody Banks,"Beverly, Massachusetts"
12,AFL,AFLAC Inc,Financials,Life & Health Insurance,"Columbus, Georgia"
13,A,Agilent Technologies Inc,Health Care,Health Care Equipment,"Santa Clara, California"
14,APD,Air Products & Chemicals Inc,Materials,Industrial Gases,"Allentown, Pennsylvania"
15,AKAM,Akamai Technologies Inc,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts"
16,ALK,Alaska Air Group Inc,Industrials,Airlines,"Seattle, Washington"
17,ALB,Albemarle Corp,Materials,Specialty Chemicals,"Baton Rouge, Louisiana"
18,ARE,Alexandria Real Estate Equities Inc,Real Estate,Office REITs,"Pasadena, California"
19,ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology,"Cheshire, Connecticut"
20,ALGN,Align Technology,Health Care,Health Care Supplies,"San Jose, California"
21,ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland"
22,AGN,"Allergan, Plc",Health Care,Pharmaceuticals,"Dublin, Ireland"
23,ADS,Alliance Data Systems,Information Technology,Data Processing & Outsourced Services,"Plano, Texas"
24,LNT,Alliant Energy Corp,Utilities,Electric Utilities,"Madison, Wisconsin"
25,ALL,Allstate Corp,Financials,Property & Casualty Insurance,"Northfield Township, Illinois"
26,GOOGL,Alphabet Inc Class A,Communication Services,Interactive Media & Services,"Mountain View, California"
27,GOOG,Alphabet Inc Class C,Communication Services,Interactive Media & Services,"Mountain View, California"
28,MO,Altria Group Inc,Consumer Staples,Tobacco,"Richmond, Virginia"
29,AMZN,Amazon.com Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington"
30,AEE,Ameren Corp,Utilities,Multi-Utilities,"St. Louis, Missouri"
31,AAL,American Airlines Group,Industrials,Airlines,"Fort Worth, Texas"
32,AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio"
33,AXP,American Express Co,Financials,Consumer Finance,"New York, New York"
34,AIG,"American International Group, Inc.",Financials,Property & Casualty Insurance,"New York, New York"
35,AMT,American Tower Corp.,Real Estate,Specialized REITs,"Boston, Massachusetts"
36,AWK,American Water Works Company Inc,Utilities,Water Utilities,"Voorhees, New Jersey"
37,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota"
38,ABC,AmerisourceBergen Corp,Health Care,Health Care Distributors,"Chesterbrook, Pennsylvania"
39,AME,AMETEK Inc.,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania"
40,AMGN,Amgen Inc.,Health Care,Biotechnology,"Thousand Oaks, California"
41,APH,Amphenol Corp,Information Technology,Electronic Components,"Wallingford, Connecticut"
42,APC,Anadarko Petroleum Corp,Energy,Oil & Gas Exploration & Production,"The Woodlands, Texas"
43,ADI,"Analog Devices, Inc.",Information Technology,Semiconductors,"Norwood, Massachusetts"
44,ANSS,ANSYS,Information Technology,Application Software,"Canonsburg, Pennsylvania"
45,ANTM,Anthem Inc.,Health Care,Managed Health Care,"Indianapolis, Indiana"
46,AON,Aon plc,Financials,Insurance Brokers,"London, United Kingdom"
47,AOS,A.O. Smith Corp,Industrials,Building Products,"Milwaukee, Wisconsin"
48,APA,Apache Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas"
49,AIV,Apartment Investment & Management (Aimco),Real Estate,Residential REITs,"Denver, Colorado"
50,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California"
51,AMAT,Applied Materials Inc.,Information Technology,Semiconductor Equipment,"Santa Clara, California"
52,APTV,Aptiv Plc,Consumer Discretionary,Auto Parts & Equipment,"Gillingham, Kent, United Kingdom"
53,ADM,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products,"Decatur, Illinois"
54,ARNC,Arconic Inc.,Industrials,Aerospace & Defense,"New York, New York"
55,ANET,Arista Networks,Information Technology,Communications Equipment,"Santa Clara, California"
56,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Itasca, Illinois"
57,AIZ,Assurant Inc.,Financials,Multi-line Insurance,"New York, New York"
58,T,AT&T Inc.,Communication Services,Integrated Telecommunication Services,"Dallas, Texas"
59,ADSK,Autodesk Inc.,Information Technology,Application Software,"San Rafael, California"
60,ADP,Automatic Data Processing,Information Technology,Internet Software & Services,"Roseland, New Jersey"
61,AZO,AutoZone Inc,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee"
62,AVB,"AvalonBay Communities, Inc.",Real Estate,Residential REITs,"Arlington, Virginia[5]"
63,AVY,Avery Dennison Corp,Materials,Paper Packaging,"Glendale, California"
64,BHGE,"Baker Hughes, a GE Company",Energy,Oil & Gas Equipment & Services,"Houston, Texas"
65,BLL,Ball Corp,Materials,Metal & Glass Containers,"Broomfield, Colorado"
66,BAC,Bank of America Corp,Financials,Diversified Banks,"Charlotte, North Carolina"
67,BK,The Bank of New York Mellon Corp.,Financials,Asset Management & Custody Banks,"New York, New York"
68,BAX,Baxter International Inc.,Health Care,Health Care Equipment,"Deerfield, Illinois"
69,BBT,BB&T Corporation,Financials,Regional Banks,"Winston-Salem, North Carolina"
70,BDX,Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey"
71,BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings,"Omaha, Nebraska"
